id,name,phone,adress,email,pass,dateDK,mst,web,location,ngaylamviec,imgSrc,dometicFlag
1,Riffwire,2366329930,"68483 Roxbury Plaza",atoomer0@thetimes.co.uk,1siR3DFJ,2017-09-02,9436692137,Riffwire.com,"953 Melby Plaza","80269 Sommers Junction","2729 Vera Junction",0
2,Eazzy,2528280337,"7 Mariners Cove Lane",hsextone1@ocn.ne.jp,uCQNl4x7kQkU,2015-08-16,0167287796,Eazzy.com,"2321 Carioca Crossing","475 Eggendart Plaza","19 Clove Plaza",0
3,Yozio,8945171161,"24108 Karstens Hill",atutton2@mit.edu,vSwVVEKYvf,2014-01-23,5865157833,Yozio.com,"85 David Trail","767 American Ash Place","5190 Moland Park",0
4,FPT,9161952066,"51034 Messerschmidt Junction",hkneath3@gov.uk,6Ndwxv8,2015-08-10,9519313486,FPT.com,"483 Ohio Court","032 5th Street","70 Dayton Circle",1
5,Livepath,9303638212,"02509 Holy Cross Place",mpeever4@wiley.com,bAw5KO,2013-07-02,4591111679,Livepath.com,"74631 Hudson Road","20094 7th Drive","463 Old Shore Place",1
6,Skipstorm,4989318926,"746 Rockefeller Point",pdebrick5@sciencedirect.com,FcJqqBX,2015-10-09,4274985806,Skipstorm.com,"923 Division Road","4 Continental Trail","446 Petterle Crossing",0
7,Tagtune,9132615549,"6952 Stephen Court",rrissom6@yellowbook.com,hVrYMlhZejM,2018-01-27,8721311242,Tagtune.com,"57 Amoth Way","6 Saint Paul Pass","429 Mockingbird Crossing",1
8,Zoomcast,3681854206,"2804 Swallow Hill",sculley7@livejournal.com,CONqdSAfHCi,2014-10-18,5390110617,Zoomcast.com,"26 Coolidge Terrace","965 Sutteridge Drive","21260 Springview Circle",1
9,Shufflester,5633150582,"07250 Upham Drive",dlivoir8@mayoclinic.com,IqylIuuPCet3,2016-09-06,5046391260,Shufflester.com,"310 Moose Center","346 Ronald Regan Hill","36 Lyons Parkway",1
10,KMS,8606186769,"9 Namekagon Pass",cmalek9@yellowpages.com,bmxSYuKgA,2017-11-21,0194577503,KMS.com,"4 Dexter Circle","101 Red Cloud Hill","151 Autumn Leaf Alley",1
11,Fatz,9447807815,"6574 Hintze Crossing",jcastelleta@businesswire.com,6XdIUe,2014-07-15,1811263232,Fatz.com,"43 Stuart Drive","257 Randy Alley","4 Manley Drive",0
12,Youopia,8797445919,"2 Prairie Rose Junction",tkennetb@va.gov,PIbaleJ1PrP,2017-10-21,8115508047,Youopia.com,"666 Buell Place","39 Anniversary Plaza","39 Walton Court",0
13,Avamba,8426360037,"82655 Russell Court",nverrillc@networkadvertising.org,oHxSFZnuW8,2017-07-21,7268033451,Avamba.com,"67 Amoth Circle","1 Amoth Place","9 Tomscot Way",0
14,Bubbletube,9528855375,"36196 John Wall Parkway",pgoftond@cnn.com,2jg6kcRWpD,2017-07-17,8907573824,Bubbletube.com,"8006 Mandrake Parkway","17492 Vermont Junction","75330 Vermont Circle",0
15,Wikivu,7136269060,"725 Veith Lane",esamuele@ameblo.jp,RsfMwldP6UC,2017-03-09,4548439544,Wikivu.com,"17 Atwood Trail","40323 Farwell Way","4084 Doe Crossing Lane",1
16,Podcat,6512282943,"8075 Clyde Gallagher Pass",iwoosterf@ezinearticles.com,0DJQ9F,2015-10-20,5044923060,Podcat.com,"42791 Atwood Terrace","93553 Warbler Point","45 Shopko Junction",1
17,Einti,6891339401,"67164 Holmberg Center",kstledgerg@reference.com,ChdCTN4rRk,2014-05-18,7472287520,Einti.com,"4393 Oakridge Point","3 Holmberg Trail","6289 Morrow Junction",0
18,Twitterbeat,4435841908,"1512 Iowa Pass",spearsonh@yale.edu,UqOA0K,2017-07-28,4137057354,Twitterbeat.com,"16981 Becker Center","82869 Grayhawk Plaza","14 Bartillon Road",1
19,Yakitri,9897168888,"184 Hermina Court",rkieri@bbb.org,vBoPZT3af,2014-04-27,6752625387,Yakitri.com,"99533 Sunfield Parkway","0016 Carey Avenue","6138 Hudson Crossing",0
20,Oyoba,8192282545,"5 Kennedy Lane",tpittawayj@cnn.com,kf9mX3LF7,2016-02-21,3632150737,Oyoba.com,"3 Portage Avenue","7774 Nevada Alley","0 Dexter Street",1
